category,name_en,image_url
topic,teeth,/symbols/mulberry/teeth.svg
topic,gum,/symbols/mulberry/gum.svg
topic,tongue,/symbols/mulberry/tongue.svg
topic,chin,/symbols/mulberry/chin.svg
topic,neck,/symbols/mulberry/neck.svg
topic,shoulder,/symbols/mulberry/shoulder.svg
topic,arms,/symbols/mulberry/arms.svg
topic,right hand,/symbols/mulberry/right_hand.svg
topic,left hand,/symbols/mulberry/left_hand.svg
topic,elbow,/symbols/mulberry/elbow.svg
topic,back,/symbols/mulberry/back.svg
topic,stomach,/symbols/mulberry/stomach_1.svg
topic,finger,/symbols/mulberry/finger.svg
topic,leg,/symbols/mulberry/leg.svg
topic,foot,/symbols/mulberry/foot.svg
topic,throat,/symbols/mulberry/throat.svg
topic,hip,/symbols/mulberry/hip.svg
topic,bottom,/symbols/mulberry/bottom_3.svg
topic,I have,/symbols/arasaac/i_have.png
topic,I need,"/symbols/mulberry/help_,_to.svg"
topic,back ache,/symbols/mulberry/back_ache.svg
topic,headache,/symbols/mulberry/headache.svg
topic,stomach ache,/symbols/mulberry/stomach_ache.svg
topic,toothache,/symbols/mulberry/toothache.svg
topic,inhaler,/symbols/mulberry/inhaler.svg
topic,rash,/symbols/mulberry/rash.svg
topic,operation,/symbols/mulberry/operation.svg
topic,plaster,/symbols/mulberry/plaster.svg
topic,medicine,/symbols/mulberry/medicine.svg
topic,xray,/symbols/mulberry/xray.svg
topic,surgery health centre,/symbols/mulberry/surgery_health_centre.svg
topic,syringe,/symbols/mulberry/syringe.svg
topic,tablets,/symbols/mulberry/tablets.svg
topic,blood pressure,/symbols/mulberry/blood_pressure.svg
topic,cut,/symbols/mulberry/cut.svg
topic,oxygen mask,/symbols/mulberry/oxygen_mask.svg
topic,vomit,"/symbols/mulberry/vomit_,_to.svg"
topic,thermometer,/symbols/mulberry/thermometer.svg
topic,thumb,/symbols/mulberry/thumb.svg
topic,toe nail,/symbols/mulberry/toe_nail.svg
topic,fingernail,/symbols/mulberry/fingernail.svg
topic,muscles,/symbols/mulberry/muscles.svg
topic,skin,/symbols/mulberry/skin.svg
topic,bone,/symbols/mulberry/bone_2.svg
topic,knee,/symbols/mulberry/knee.svg
topic,glasses,/symbols/mulberry/glasses.svg
topic,sunglasses,/symbols/mulberry/sunglasses.svg
topic,bobble hat,/symbols/mulberry/bobble_hat.svg
topic,cap,/symbols/mulberry/cap.svg
topic,bow tie,/symbols/mulberry/bow_tie.svg
topic,tie,/symbols/mulberry/tie.svg
topic,socks,/symbols/mulberry/socks.svg
topic,gloves,/symbols/mulberry/gloves.svg
topic,boots,/symbols/mulberry/boots.svg
topic,bra,/symbols/mulberry/bra.svg
topic,boxer shorts,/symbols/mulberry/boxer_shorts.svg
topic,pants,/symbols/mulberry/pants.svg
topic,purse,/symbols/mulberry/purse.svg
topic,jewellery,/symbols/mulberry/jewellery.svg
topic,sandals,/symbols/mulberry/sandals.svg
topic,trainers,/symbols/mulberry/trainers.svg
topic,scarf,/symbols/mulberry/scarf.svg
topic,umbrella,/symbols/mulberry/umbrella.svg
topic,watch,/symbols/mulberry/watch.svg
topic,shirt,/symbols/mulberry/shirt.svg
topic,t-shirt,/symbols/mulberry/t-shirt.svg
topic,trousers,/symbols/mulberry/trousers.svg
topic,shorts,/symbols/mulberry/shorts.svg
topic,jacket,/symbols/mulberry/jacket.svg
topic,coat,/symbols/mulberry/coat.svg
topic,blouse,/symbols/mulberry/blouse.svg
topic,dress,/symbols/mulberry/dress.svg
topic,jumper,/symbols/mulberry/jumper.svg
topic,hoodie,/symbols/mulberry/hoodie.svg
topic,skirt,/symbols/mulberry/skirt.svg
topic,vest,/symbols/mulberry/vest.svg
topic,pyjamas,/symbols/mulberry/pyjamas.svg
topic,black,/symbols/mulberry/black.svg
topic,white,/symbols/mulberry/white.svg
topic,mauve,/symbols/mulberry/mauve.svg
topic,yellow,/symbols/mulberry/yellow.svg
topic,pink,/symbols/mulberry/pink.svg
topic,blue,/symbols/mulberry/blue.svg
topic,green,/symbols/mulberry/green.svg
topic,red,/symbols/mulberry/red.svg
topic,colour,/symbols/mulberry/colour.svg
topic,my,/symbols/arasaac/my.png
topic,your,/symbols/arasaac/you_are.png
topic,family,/symbols/mulberry/family.svg
topic,grandfather,/symbols/mulberry/grandfather.svg
topic,grandmother,/symbols/mulberry/grandmother.svg
topic,mum,/symbols/mulberry/mum.svg
