folder,word,image_url
kitchen,serviette,/symbols/mulberry/serviette.svg
kitchen,bowl,/symbols/mulberry/bowl.svg
kitchen,place mat,/symbols/mulberry/place_mat.svg
kitchen,cooker,/symbols/mulberry/cooker.svg
kitchen,fridge,/symbols/mulberry/fridge.svg
kitchen,apron,/symbols/mulberry/apron.svg
school,pen,/symbols/mulberry/pen.svg
school,pencil,/symbols/mulberry/pencil.svg
school,pencil sharpener,/symbols/mulberry/pencil_sharpener.svg
school,pencil case,/symbols/mulberry/pencil_case.svg
school,school bag,/symbols/mulberry/school_bag.svg
school,notebook,/symbols/mulberry/notebook.svg
school,ring binder,/symbols/mulberry/ring_binder.svg
school,calculator,/symbols/mulberry/calculator.svg
school,scissors,/symbols/mulberry/scissors.svg
school,blackboard,/symbols/mulberry/blackboard.svg
school,teacher,/symbols/mulberry/teacher_2a.svg
school > class room,algebra class,/symbols/mulberry/algebra_class.svg
school > class room,art class,/symbols/mulberry/art_class.svg
school > class room,drama class,/symbols/mulberry/drama_class.svg
school > class room,english class,/symbols/mulberry/english_class.svg
school > class room,geography class,/symbols/mulberry/geography_class.svg
school > class room,history class,/symbols/mulberry/history_class.svg
school > class room,maths class,/symbols/mulberry/maths_class.svg
school > class room,IT class,/symbols/mulberry/it_class.svg
school > class room,music class,/symbols/mulberry/music_class.svg
school > class room,science class,/symbols/mulberry/science_class.svg
school > class room,no class,/symbols/mulberry/no_class.svg
school,tippex,/symbols/mulberry/tippex.svg
school,crayon,/symbols/mulberry/crayon.svg
school,glue,/symbols/mulberry/glue.svg
school,stapler,/symbols/mulberry/stapler.svg
animals,I have,/symbols/arasaac/i_have.png
animals,I saw,/symbols/arasaac/i_saw.png
animals,I want,"/symbols/mulberry/want_,_to.svg"
animals,dog,/symbols/mulberry/dog.svg
animals,cat,/symbols/mulberry/cat.svg
animals,hamster,/symbols/mulberry/hamster.svg
animals,rabbit,/symbols/mulberry/rabbit.svg
animals,hedgehog,/symbols/mulberry/hedgehog.svg
animals,horse,/symbols/mulberry/horse.svg
animals,donkey,/symbols/mulberry/donkey.svg
animals,toad,/symbols/mulberry/toad.svg
animals,sheep,/symbols/mulberry/sheep.svg
animals,dog kennel,/symbols/mulberry/dog_kennel.svg
animals,cage,/symbols/mulberry/cage.svg
animals,stable,/symbols/mulberry/stable.svg
animals,frog,/symbols/mulberry/frog.svg
animals,chick,/symbols/mulberry/chick.svg
animals,fish,/symbols/mulberry/fish.svg
animals,chicken live,/symbols/mulberry/live_chicken.svg
animals,mouse,/symbols/mulberry/mouse.svg
animals,rat,/symbols/mulberry/rat.svg
animals,parrot,/symbols/mulberry/parrot.svg
animals,nest,/symbols/mulberry/nest.svg
animals,goose,/symbols/mulberry/goose.svg
animals,cow,/symbols/mulberry/cow.svg
animals > wild animals,tiger,/symbols/mulberry/tiger.svg
animals > wild animals,elephant,/symbols/mulberry/elephant.svg
animals > wild animals,giraffe,/symbols/mulberry/giraffe.svg
animals > wild animals,gorilla,/symbols/mulberry/gorilla.svg
animals > wild animals,snake,/symbols/mulberry/snake.svg
animals > wild animals,rattle snake,/symbols/mulberry/rattle_snake.svg
animals > wild animals,panda,/symbols/mulberry/panda.svg
animals > wild animals,hippopotamus,/symbols/mulberry/hippopotamus.svg
animals > wild animals,bear,/symbols/mulberry/bear.svg
animals > wild animals,polar bear,/symbols/mulberry/polar_bear.svg
animals > wild animals,fox,/symbols/mulberry/fox.svg
animals > wild animals,lion,/symbols/mulberry/lion.svg
animals > wild animals,wolf,/symbols/mulberry/wolf.svg
animals > wild animals,chimpanzee,/symbols/mulberry/chimpanzee.svg
animals > wild animals,deer,/symbols/mulberry/deer.svg
animals > wild animals,zebra,/symbols/mulberry/zebra.svg
animals > wild animals,kangaroo,/symbols/mulberry/kangaroo.svg
animals > wild animals,bat,/symbols/mulberry/bat.svg
animals > wild animals,koala,/symbols/mulberry/koala.svg
animals > wild animals,rhinoceros,/symbols/mulberry/rhinoceros.svg
animals > wild animals,dinosaur,/symbols/mulberry/dinosaur.svg
animals > wild animals,cheetah,/symbols/mulberry/cheetah.svg
animals > wild animals,ant eater,/symbols/mulberry/ant_eater.svg
animals > wild animals,antelope,/symbols/mulberry/antelope.svg
animals > wild animals,chameleon,/symbols/mulberry/chameleon.svg
animals > marine animals,seahorse,/symbols/mulberry/seahorse.svg
animals > marine animals,penguin,/symbols/mulberry/penguin.svg
animals > marine animals,starfish,/symbols/mulberry/starfish.svg
animals > marine animals,dolphin,/symbols/mulberry/dolphin.svg
animals > marine animals,seal,/symbols/mulberry/seal.svg
animals > marine animals,killer whale,/symbols/mulberry/killer_whale.svg
animals > marine animals,crab,/symbols/mulberry/crab.svg
animals > marine animals,goldfish,/symbols/mulberry/goldfish.svg
animals > marine animals,oyster,/symbols/mulberry/oyster_2.svg
animals > marine animals,shrimp,/symbols/mulberry/shrimp.svg
animals > marine animals,crocodile,/symbols/mulberry/crocodile_2.svg
animals > marine animals,jellyfish,/symbols/mulberry/jellyfish.svg
animals > marine animals,walrus,/symbols/mulberry/walrus.svg
animals > marine animals,tropical fish,/symbols/mulberry/tropical_fish.svg
animals > marine animals,fish koi carp,/symbols/mulberry/koi_carp_fish.svg
animals > marine animals,fish,/symbols/mulberry/fish.svg
animals > insects,snail,/symbols/mulberry/snail.svg
animals > insects,beetle,/symbols/mulberry/beetle.svg
animals > insects,honey bee,/symbols/mulberry/honey_bee.svg
animals > insects,ant,/symbols/mulberry/ant.svg
animals > insects,cricket,/symbols/mulberry/cricket_2.svg
animals > insects,moth,/symbols/mulberry/moth.svg
animals > insects,butterfly,/symbols/mulberry/butterfly.svg
animals > insects,fly,/symbols/mulberry/fly.svg
animals > insects,dragonfly,/symbols/mulberry/dragonfly.svg
animals > insects,earwig,/symbols/mulberry/earwig.svg
animals > insects,slug,/symbols/mulberry/slug.svg
animals > insects,wasp,/symbols/mulberry/wasp.svg
animals > insects,beehive,/symbols/mulberry/beehive.svg
animals > insects,bees nest,/symbols/mulberry/bees_nest.svg
animals > insects,caterpillar,/symbols/mulberry/caterpillar.svg
animals > birds,owl,/symbols/mulberry/owl.svg
animals > birds,vulture,/symbols/mulberry/vulture.svg
animals > birds,seagull,/symbols/mulberry/seagull.svg
animals > birds,dove,/symbols/mulberry/dove.svg
animals > birds,parrot,/symbols/mulberry/parrot.svg
animals > birds,chick,/symbols/mulberry/chick.svg
animals > birds,chicken live,/symbols/mulberry/live_chicken.svg
animals > birds,duck,/symbols/mulberry/duck.svg
animals > birds,goose,/symbols/mulberry/goose.svg
animals > birds,swan,/symbols/mulberry/swan.svg
animals > birds,robin,/symbols/mulberry/robin.svg
animals > birds,turkey,/symbols/mulberry/turkey.svg
animals > birds,ostrich,/symbols/mulberry/ostrich.svg
animals > birds,bird,/symbols/mulberry/bird.svg
animals > birds,penguin,/symbols/mulberry/penguin.svg
animals > birds,flamingo,/symbols/mulberry/flamingo.svg
animals > birds,peacock,/symbols/mulberry/peacock.svg
animals > birds,cockerel,/symbols/mulberry/cockerel.svg
animals > birds,cockatiel,/symbols/mulberry/cockatiel.svg
animals,tortoise,/symbols/mulberry/tortoise.svg
animals,camel,/symbols/mulberry/camel.svg
animals,piglet,/symbols/mulberry/piglet.svg
technology,I need,"/symbols/mulberry/help_,_to.svg"
technology,where is,/symbols/mulberry/where.svg
technology,my,/symbols/arasaac/my.png
technology,your,/symbols/arasaac/you_are.png
technology,computer,/symbols/mulberry/computer_2.svg
technology,laptop,/symbols/mulberry/laptop.svg
technology,electric charger,/symbols/mulberry/electric_charger.svg
technology,battery,/symbols/mulberry/battery_2.svg
technology,camera,/symbols/mulberry/camera.svg
technology,headphones,/symbols/mulberry/headphones.svg
technology,playstation,/symbols/mulberry/playstation.svg
technology,usb stick,/symbols/mulberry/usb_stick.svg
technology,printer,/symbols/mulberry/printer.svg
technology,computer mouse,/symbols/mulberry/computer_mouse_2.svg
technology,ipod,/symbols/mulberry/ipod.svg
technology,iphone,/symbols/mulberry/iphone.svg
technology,stereo,/symbols/mulberry/stereo.svg
technology,dvd player,/symbols/mulberry/dvd_player.svg
technology,wii,/symbols/mulberry/wii.svg
technology,remote control,/symbols/mulberry/remote_control.svg
technology,computer keyboard,/symbols/mulberry/computer_keyboard.svg
technology,extension lead,/symbols/mulberry/extension_lead.svg
weather,rain,/symbols/mulberry/rain.svg
weather,sun,/symbols/mulberry/sun.svg
weather,snow,/symbols/mulberry/snow.svg
weather,thunder storm,/symbols/mulberry/thunder_storm.svg
